name,description,url,position,street,city,county,state,country,postal_code,phone,email,unformatted
Pivovarský dům Ostrava,Biovar,http://www.hobitclub.net,"49.8400174,18.2885301",,,,,,,,,Přívozská ulice 367/34 Ostrava
Pivovarský dům Praha,,http://www.gastroinfo.cz/pivodum,"50.0753608,14.4238317",,,,,,,,pivodum@iol.cz,Lípová 15; 120 00 Praha 2
Pivovarský dvůr Chýně,,http://www.pivovarskydvur.cz,"50.0624699,14.2334855",,,,,,,,info@pivovarskydvur.cz,"Hlavní 28 ; Chýně, 253 01 Hostivice"
Pivovarský dvůr Lipan Dražič,,http://www.pivovarlipan.com,"49.3056871,14.3809597",,,,,,,,info@pivovarlipan.cz,Dražič 50; Týn nad Vltavou; 375 01
Pivovarský dvůr Plzeň,,http://www.purkmistr.cz,"49.6986885,13.4142959",,,,,,,,pivovar@purkmistr.cz,"Selská náves 21/2, 326 Plzeň – Černice"
Pivovarský dvůr  Zvíkov,,http://www.pivovar-zvikov.cz,"49.4308845,14.1983324",Zvíkovské Podhradí 92,Zvíkovské Podhradí,okres Písek,,Česko,39701,,,
Pivovar Starobrno,,http://www.starobrno.com,"49.1910689,16.5917511",,,,,,,,,Hlinky 12; 661 47 Brno
Pivovar Staropramen,,http://www.staropramen.cz,"50.0698852,14.405538",,,,,,,,,Nádražní 84; 150 54 Praha 5 – Smíchov; 
Pivovar Strakonice,,http://www.pivovar-strakonice.cz,"49.2595903,13.897523",,,,,,,,,Podskalská 324; 386 19
Pivovar Svijany,,http://www.pivovarsvijany.cz,"50.572885,15.0542928",,,,,,,,pivovar@volny.cz,"Svijany 25; Příšovice, 463 46"
Pivovar Třeboň,,http://www.pivovar-regent.cz,"49.0026335,14.7722918",,,,,,,,obchod@pivovar-regent.cz,Trocnovské nám. 124; 379 14 Třeboň
Pivovar Trutnov,,http://www.pivovar-krakonos.cz,"50.5614285,15.9094205",,,,,,,,pivo_krakonos@volny.cz,Křižíkova 486; 541 01 Trutnov
Pivovar U bojiště 1866 Miletín,,,"50.4040911,15.6812167",,,,,,,,sladekchmelka@centrum.cz,nám. K. J. Erbena 98; 507 71 Miletín
Pivovar Uherský Brod,,http://www.pivovar-janacek.cz,"49.0240168,17.6552572",,,,,,,,info@pivovar-janacek.cz,"Neradice 369, 688 16 Uherský Brod"
Pivovar ve Dvoře Králové nad Labem,,http://www.pivo-tambor.cz,"50.4197995,15.8089328",,,,,,,,pivovar@pivo-tambor.cz,"Raisova 699, 544 01 Dvůr Králové nad Labem"
Pivovar Velké Březno,,,"50.6646512,14.1389457",,,,,,,,,Pivovarská 116; 403 23 Velké Březno
Pivovar Velké Popovice,,http://www.kozel.cz,"49.9225318,14.6360806",,,,,,,,pilsner@ileo.cz,Ringhofferova 1; 251 69 Velké Popovice; 
Pivovar Victor,,http://www.pivovarvictor.cz,"50.0868977,14.4500819",,,,,,,,info@pivovarvictor.cz,"Husitská 72, 130 20 Praha 3"
Pivovar Vratislavice nad Nisou,Konrad,http://www.pivo-konrad.cz,"50.752216,15.0887543",Pivovarská 164,Liberec,,,,463 11,,,Tanvaldská 163; 463 11 Liberec 30 -Vratislavice
Pivovar Vyškov,,http://www.pivovyskov.cz,"49.2761193,16.9991774",,,,,,,,info@pivovyskov.cz,Čs.armády 4; 682 11 Vyškov
Pivovar Vysoké školy chemicko-technologické,,http://www.vscht.cz,"50.1033305,14.3899441",,,,,,,,,Technická 5; 166 28 Praha 6 - Dejvice
Pivovar Vysoký Chlumec,,http://www.pivovar-vysokychlumec.cz,"49.6144136,14.3917918",,,,,,,,pivovar@lobkowicz.cz,Vysoký Chlumec 29; 262 52
Pivovar Žatec,,http://www.zateckypivovar.cz,"50.3322455,13.54186",,,,,,,,,Žižkovo náměstí 81; 438 33 Žatec; 
Pivovar Zhůřák,,http://www.pivovarzhurak.cz,"49.5370106,13.5162378",,,,,,,,chris@pivovarzhurak.cz,335 01 Chocenice - Zhůř 135
Pivovar Žlebské Chvalovice,,http://www.kutilkovapalirna.cz,"49.8935082,15.5660861",,,,,,,,kpalirna@seznam.cz,"Žlebské Chvalovice 88, 538 43 Třemošnice"
Pivovar ZLoun,,http://www.pivozloun.cz,"50.3528407,13.8068286",,,,,,,"725061111,775101101",,"Rybalkova 1267, Louny 440 01"
Plzeňský Prazdroj a.s.,,http://www.prazdroj.cz,"49.746626,13.386083",,,,,,,,pilsner@ileo.cz,U Prazdroje 7; 304 97 Plzeň
Poddžbánský pivovar Mutějovice,,,"50.1935831,13.7077335",,,,,,,,,"Velká strana 2, 270 07  Mutějovice"
Podhorský pivovar Frýdlant,,http://www.hotel-beskyd.cz,"49.5936352,18.3594952",,,,,,,,info@hotel-beskyd.cz,"Náměstí 1, 739 11 Frýdlant nad Ostravicí"
Podklášterní pivovar Třebíč,,http://www.pivovar-trebic.cz,"49.217534,15.8698529",Nad Zámkem 7,Třebíč,,,,,,,
Pokusný minipivovar Chmelařského institutu,,http://www.chizatec.cz,"50.327176,13.5457856",,,,,,,,,"Chmelařský institut, Žatec"
První novoměstský restaurační pivovar,,http://www.npivovar.cz,"50.0796977,14.4230509",,,,,,,,sales@npivovar.cz,Vodičkova 20; 110 00 Praha 1
Radniční restaurace a pivovar Jihlava,,http://www.radnicni-jihlava.cz,"49.3963516,15.590945",,,,,,,,info@radnicni-jihlava.cz,"Masarykovo náměstí 66/67, 586 01 Jihlava"
Restaurace a hostinský pivovar U Bizona,,http://www.ubizona.eu,"49.6498468,13.399152",,,,,,,,ubizona@seznam.cz,Čižice 76; 332 09 Čižice
Restaurace a minipivovar Stará škola,,http://www.restauracestaraskola.cz,"49.4673582,13.1736169",,,,,,,,info@restauracestaraskola.cz,"Mírové nám. 42, 339 01 Chudenice"
Restaurace a minipivovar U Valšů,,http://www.prazskymost.cz,"50.0835622,14.4144295",,,,,,,,,"Betlémská 5, Praha 1 - Staré Město"
Restaurace a pivovar Marina Holešovice,,http://www.pivovarmarina.cz,"50.1064499,14.4561034",,,,,,,,rezervace@pivovarmarina.cz,"Jankovcova 12, Praha 7 Holešovice"
Restaurační pivovar Vítek z Prčice,,http://www.vitekzprcice.cz,"49.5742051,14.5286219",,,,,,,,hrad@vitekzprcice.cz,"Komenského 21, 257 91 Sedlec-Prčice"
Restaurant a minipivovar U Orloje,,,"50.3245469,13.5445623",,,,,,,,,"náměstí Prokopa Velkého 1951, 438 01 Žatec"
Rodinný minipivovar Domov,,http://www.lounskyzejdlik.cz,"50.3514418,13.8101385",,,,,,,731 453 082,,"Rybalkova 1323, 440 01 Louny"
Rodinný minipivovar Pacov,,http://www.minipivovarpacov.cz,"49.4715827,15.0022204",Jana Autengrubera 318 ,Pacov,,,,395 01,,,Pacov
Rodinný minipivovar - Vendelín Krkoška,,http://www.pivovarvendelin.cz,"50.7606303,15.1125134",,,,,,,,,Lukašovská 43; 460 15 Liberec - Starý Harcov
Rodinný pivovar Berounský medvěd,,http://www.berounskymedved.com,"49.9565181,14.0717761",,,,,,,,berounskymedved@seznam.cz,Tyršova 135; 266 01; Beroun 2
Rodinný pivovar Bravůr,,http://www.kvasslav.cz,"50.0733123,17.1014746",,,,,,,,halaxa@kvasslav.cz,"Filipová 65, 788 11 Loučná nad Desnou"
Rodinný pivovar Hendrych Vrchlabí,,http://www.pivohendrych.cz,"50.6549013,15.6032807",,,,,,,,info@pivohendrych.cz,"Horská 192, 543 02 Vrchlabí"
Rodinný pivovar Neumann,,,"50.3529467,14.6934712",,,,,,,,vneu@pivovar-neumann.cz,"Chorušická 93, 277 38 Mělnické Vtelno"
Rodinný pivovar Propper,,http://www.pivovarpropper.cz,"50.1763009,15.7415809",,,,,,,,pivovarpropper@seznam.cz,"Praskačka 71, 503 33 Praskačka"
Rodinný pivovar Vilém,,http://www.pivovar-vilem.cz,"49.7911593,13.9777368",,,,,,,,pivovar-vilem@email.cz,"Eškova 33, 262 23 Jince"
Rodinný pivovar v Lokti,,http://www.hotel-loket.cz,"50.1805865,12.7458293",,,,,,,,info@hotel-loket.cz,"T.G.M 136, 357 33 Loket"
Školní pivovar Praha-Suchdol,,,"50.131026,14.373271",,,,,,,,,Česká zemědělská univerzita
Slavkovský pivovar,,http://www.slavkovskypivovar.cz,"49.1496536,16.8887353",,,,,,,,info@slavkovskypivovar.cz,"U mlýna 1422, Slavkov u Brna, 684 01"
Sousedský pivovar U Bansethů,,,"50.0628892,14.4399189",,,,,,,,basta.vlada@seznam.cz,"Táborská 389/49, Praha-Nusle"
Staňkův rukodělný pivovárek,,http://www.pivovartrebonice.com,"50.0440874,14.2824948",,,,,,,,mydas@volny.cz,"K Řeporyjím 4, Praha 5 - Třebonice"
Staročeský pivovárek Dobruška,,,"50.2947505,16.1622203",,,,,,,,,"Křovická 267, 518 01 Dobruška"
Starokladenský pivovar U Kozlíků,,http://www.starokladno.cz,"50.1416986,14.1067465",,,,,,,,,"Třída ČSA 3230, Kladno"
Staroměstský pivovar U     tří růží Praha,,http://www.u3r.cz,"50.0855598,14.4183588",,,,,,,,,"Husova 10, Praha 1"
Štiřínský pivovar Magnát,,http://www.stirinskastodola.cz,"49.9169612,14.5955642",,,,,,,,info@stirinskastodola.cz,"Želivecká 707, 251 68 Štiřín"
Šumavský pivovar ve Vimperku,,http://www.sumavskypivovar.cz,"49.0524611,13.7749668",,,,,,,,rezervace@sumavskypivovar.cz,Steinbrenerova 48/1; 385 01 Vimperk
Svatováclavský pivovar Originál,,http://www.svatovaclavsky-pivovar.cz,"49.5958647,17.2587146",,,,,,,,,"Mariánská 4, Olomouc"
Svitavský pivovárek Na Kopečku,,http://www.pivovareknakopecku.cz,"49.7521787,16.4608236",,,,,,,,info@pivovareknakopecku.cz,"Radiměřská 5a, 568 02 Svitavy"
U Bulovky Richter Pub,,http://www.pivovarubulovky.cz,"50.1152747,14.466298",,,,,,,,richterpub@seznam.cz,"Bulovka 17, 180 00 Praha 8 – Libeň"
Únětický pivovar,,http://www.unetickypivovar.cz,"50.1490523,14.3542091",,,,,,,,,"Rýznerova 19/5, Únětice"
U Pigiho,"Very special, unique, relaxing. Pigi is a character",,"49.9995123,14.3971002",Na staré 145,Praha,okres Hlavní město Praha,Praha,Česko,15900,,,
Valašský pivovar Kozlovice,,http://www.relaxvpodhuri.cz,"49.5903943,18.2565719",,,,,,,,,Kozlovice
Vesnický pivovar Ohrada,,,"49.5333467,16.6252715",,,,,,,,,"Vísky 100, 679 33 Vísky u Letovic"
Zámecký minipivovar Ostrava - Zábřeh,,http://www.pivovarzabreh.cz,"49.807317,18.2402603",,,,,,,,,"U Zámku 42/1, 700 30 Ostrava-Zábřeh"
Zámecký pivovar a hostinec U Paní Magdaleny Všeradice,,http://www.zamecky-dvur.cz,"49.8733562,14.1108871",,,,,,,,pivovar@zamecky-dvur.cz,"Všeradice 1, 267 26"
Zámecký pivovar Bratčice,,http://www.pivovarbratcice.cz,"49.0636422,16.5167311",Bratčice 106,Bratčice,okres Brno-venkov,Jihovýchod,Česko,66464,,,
Zámecký pivovar Břeclav,,http://www.pivovarbreclav.cz,"48.7600908,16.8747162",,,,,,,,,"Pod Zámkem 625/8, 690 02  Břeclav"
Zámecký pivovar Chyše,,http://www.chyse.com,"50.1046274,13.2490662",,,,,,,728 948 868,pivovar@chyse.com,Chyše
Zámecký pivovar Dětenice,,http://www.pivovardetenice.cz,"50.3690277,15.1714604",,,,,,,,info@detenice.cz,"Čp.9, 507 24  Dětenice"
Zámecký pivovar Oslavany,,,"49.0651465,16.5230839",,,,,,,,oslavanskypivovar@seznam.cz,"Bratčice 106, 664 67"
Želivský klášterní pivovar,,http://zeliv.eu/klasterni-pivovar,"49.5309486,15.2172504",,,,,,,,info@pivovar.zeliv.cz,"Želiv 1, 394 44"
Zichovecký pivovar,,http://www.zichoveckypivovar.cz,"50.2710591,13.9260359",,,,,,,,zichoveckypivovar@email.cz,"Zichovec 99, 273 74 Klobuky"
