name,description,url,position,street,city,county,state,country,postal_code,phone,email
"Thermál Kemping, H-Kerekdomb",,,"46.90975,20.03708",,,,,,,,
"Thermal Kemping, H-Sárvár",,,"47.24683,16.94747",,,,,,,,
"Tini Kemping, H-Gárdony",,,"47.20158,18.60938",,,,,,,,
"Tisza Kemping, H-Tokaj",,,"48.12191,21.4177",,,,,,,,
"Tiszaligeti Motel és Camping, H-Szolnok",,,"47.16651,20.18921",,,,,,,,
"Tiszaparti Kemping, H-Tiszacsege",,,"47.70433,20.95416",,,,,,,,
"Tisza-parti Termálfürdő Camping, H-Tiszakácske",,,"46.93665,20.12231",,,,,,,,
"Tisza-tó Camping, H-Poroszló",,,"47.64158,20.65301",,,,,,,,
"Tisza-tó Nyaralópark, H-Abádszalók",,,"47.47778,20.5882",,,,,,,,
"Tiszavirág Camping és Vendégház, H-Tokaj",,,"48.12315,21.41806",,,,,,,,
"Tó Kemping, H-Kunfehértó",,,"46.37513,19.40016",,,,,,,,
"Tölgyes Kemping, H-Jászapáti",,,"47.50414,20.14117",,,,,,,,
"Tölgyes Turistaközpont, H-Balinka",,,"47.31428,18.2083",,,,,,,,
"Tomaj Camping, H-Badacsonytomaj",,,"46.80305,17.51915",,,,,,,,
"Tópart Kemping, H-Szombathely",,,"47.23686,16.59872",,,,,,,,
"Tulipán Kemping, H-Eger-Szépasszonyvölgy",,,"47.89368,20.36013",,,,,,,,
"Tulipán Kemping, H-Gyenesdiás",,,"46.76486,17.29088",,,,,,,,
"Tündérrózsa Sátorozóhely, H-Ásványráró",,,"47.825,17.49025",,,,,,,,
"Túra Camping Étterem, H-Parádvasvár, +36 (36) 364-079",,,"47.9175,19.99396",,,,,,,,
"Turista Park Kemping, H-Sznetlélek",,,"48.12191,20.52565",,,,,,,,
"Túr-Parti Diákszálló, H-Nagyhódos",,,"47.96543,22.85165",,,,,,,,
"Új Tanyacsárda Kemping, H-Felsőlajos",,,"47.05408,19.5043",,,,,,,,
"Unió Vízitelep, H-Tokaj",,,"48.13963,21.40206",,,,,,,,
"Vadása Camping, H-Hegyhátszentjakab",,,"46.87838,16.5486",,,,,,,,
"Vadkerti-tó Kemping, H-Vadkertitó",,,"46.60985,19.39223",,,,,,,,
"Vadvíz Kemping és Szabadidőpark, H-Dunakiliti",,,"47.98498,17.3276",,,,,,,,
"Vándormarasztaló Tanya, H-Motel és Kemping, H-Kistelek",,,"46.50754,19.96658",,,,,,,,
"Vándortábor, H-Pomáz",,,"47.64064,19.00847",,,,,,,,
"Vándor Üdülőház és Kemping, H-Levelek",,,"47.96116,21.99205",,,,,,,,
"Vár-Camping, H-Sirok",,,"47.93755,20.19341",,,,,,,,
"Várfürdő-Kemping, H-Kisvárda",,,"48.22861,22.07229",,,,,,,,
"Varga-tanya Vendégház és Kemping, H-Nagyrákos",,,"46.82608,16.46488",,,,,,,,
"Várkert Termálkemping, H-Pápa",,,"47.33801,17.47355",,,,,,,,
"Városi Gyógyvizű Strandfürdő és Kemping, H-Karcag",,,"47.32171,20.90905",,,,,,,,
"Városi Strand és Kemping, H-Ajka",,,"47.11281,17.55628",,,,,,,,
"Veronika Camping, H-Kehidakustány",,,"46.83954,17.09942",,,,,,,,
"Vidám Delfin Camping, H-Tiszabecs",,,"48.10578,22.82744",,,,,,,,
"Vízimalom Kemping, H-Túristvándi",,,"48.04728,22.64235",,,,,,,,
"Vulkán Resort Feng Shui Kemping, H-Kemeneskápolna",,,"47.21456,17.10225",,,,,,,,
"Wellness Park Panzió & Camping, H-Vonyarcvashegy",,,"46.76415,17.30278",,,,,,,,
"WF Szabadidőpark és Kemping, H-Szőny",,,"47.72486,18.14623",,,,,,,,
"Zalatour Kemping, H-Balatongyörök",,,"46.75098,17.33306",,,,,,,,
"Zengő Ifjúsági Tábor, H-Dombaytó",,,"46.14913,18.39682",,,,,,,,
"Zöldpont, H-Balatonszárszó",,,"46.83281,17.83333",,,,,,,,
"Zöldsziget Kemping, H-Kehidakustány, Kossuth u. 62., +36 (30) 491-7583",,,"46.83429,17.10719",,,,,,,,
"Zsóry Autóscamping, H-Zsóryfürdő",,,"47.79273,20.52103",,,,,,,,
"Zugligeti Szabadidő Központ, H-Budapest",,,"47.51581,18.97325",,,,,,,,
